name,yahoo_ticker,isin,country,exchange,sector,enabled
Adobe Inc.,ADBE,,US,NASDAQ,Software,true
"AppFolio, Inc.",APPF,,US,NASDAQ,Software,true
"BioCryst Pharmaceuticals, Inc.",BCRX,,US,NASDAQ,Biotechnology,true
Booking Holdings Inc.,BKNG,,US,NASDAQ,"Hotels, Restaurants and Leisure",true
"CarGurus, Inc.",CARG,,US,NASDAQ,Interactive Media and Services,true
"Celsius Holdings, Inc.",CELH,,US,NASDAQ,Beverages,true
"Cirrus Logic, Inc.",CRUS,,US,NASDAQ,Semiconductors and Semiconductor Equipment,true
"Coca-Cola Consolidated, Inc.",COKE,,US,NASDAQ,Beverages,true
"Copart, Inc.",CPRT,,US,NASDAQ,Commercial Services and Supplies,true
"DexCom, Inc.",DXCM,,US,NASDAQ,Health Care Equipment and Supplies,true
"Duolingo, Inc.",DUOL,,US,NASDAQ,Diversified Consumer Services,true
"Exelixis, Inc.",EXEL,,US,NASDAQ,Biotechnology,true
"ExlService Holdings, Inc.",EXLS,,US,NASDAQ,Professional Services,true
"First Solar, Inc.",FSLR,,US,NASDAQ,Semiconductors and Semiconductor Equipment,true
"Frontdoor, Inc.",FTDR,,US,NASDAQ,Diversified Consumer Services,true
"Grand Canyon Education, Inc.",LOPE,,US,NASDAQ,Diversified Consumer Services,true
"Halozyme Therapeutics, Inc.",HALO,,US,NASDAQ,Biotechnology,true
"Harmony Biosciences Holdings, Inc.",HRMY,,US,NASDAQ,Pharmaceuticals,true
Incyte Corporation,INCY,,US,NASDAQ,Biotechnology,true
"InterDigital, Inc.",IDCC,,US,NASDAQ,Software,true
"Interparfums, Inc.",IPAR,,US,NASDAQ,Personal Care Products,true
"Lantheus Holdings, Inc.",LNTH,,US,NASDAQ,Health Care Equipment and Supplies,true
"Manhattan Associates, Inc.",MANH,,US,NASDAQ,Software,true
Maplebear Inc.,CART,,US,NASDAQ,Consumer Staples Distribution and Retail,true
"Medpace Holdings, Inc.",MEDP,,US,NASDAQ,Life Sciences Tools and Services,true
"Monarch Casino & Resort, Inc.",MCRI,,US,NASDAQ,"Hotels, Restaurants and Leisure",true
