name,yahoo_ticker,isin,country,exchange,sector,enabled
ASTA Energy Solutions AG,1AST.VI,,AT,EURONEXT,Unknown,true
Steyr Motors AG,4X0.VI,AT0000A3FW25,AT,EURONEXT,Unknown,true
Amadeus Fire AG,AAD.VI,DE0005093108,AT,EURONEXT,Unknown,true
Anheuser-Busch InBev SA/NV,ABIN.VI,BE0974293251,AT,EURONEXT,Unknown,true
ACS Actividades de Construcción y Servicios S.A.,ACS.VI,,AT,EURONEXT,Unknown,true
Addiko Bank AG,ADKO.VI,AT000ADDIKO0,AT,EURONEXT,Unknown,true
AGRANA Beteiligungs-Aktiengesellschaft,AGR.VI,AT000AGRANA3,AT,EURONEXT,Unknown,true
AMAG Austria Metall AG,AMAG.VI,AT00000AMAG3,AT,EURONEXT,Unknown,true
AMS OSRAM AG,AMS2.VI,,AT,EURONEXT,Unknown,true
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ATS.VI,AT0000969985,AT,EURONEXT,Unknown,true
BAWAG Group AG,BG.VI,AT0000BAWAG2,AT,EURONEXT,Unknown,true
Burgenland Holding Aktiengesellschaft,BHD.VI,AT0000640552,AT,EURONEXT,Unknown,true
Biogena Group Invest AG,BIO.VI,ATBIOGENA005,AT,EURONEXT,Unknown,true
BKS Bank AG,BKS.VI,AT0000624705,AT,EURONEXT,Unknown,true
Bajaj Mobility AG,BMAG.VI,AT0000KTMI02,AT,EURONEXT,Unknown,true
CA Immobilien Anlagen AG,CAI.VI,AT0000641352,AT,EURONEXT,Unknown,true
CNH Industrial N.V.,CNHI.VI,NL0010545661,AT,EURONEXT,Unknown,true
CPI Europe AG,CPI.VI,AT0000A21KS2,AT,EURONEXT,Unknown,true
DO & CO Aktiengesellschaft,DOC.VI,AT0000818802,AT,EURONEXT,Unknown,true
Enry S Island Spa Sb,EIOS.VI,IT0005504458,AT,EURONEXT,Unknown,true
The Estée Lauder Companies Inc.,ESLA.VI,,AT,EURONEXT,Unknown,true
EuroTeleSites AG,ETS.VI,AT000000ETS9,AT,EURONEXT,Unknown,true
EVN AG,EVN.VI,AT0000741053,AT,EURONEXT,Unknown,true
Exor N.V.,EXO.VI,NL0012059018,AT,EURONEXT,Unknown,true
Fabasoft AG,FAA.VI,,AT,EURONEXT,Unknown,true
Facc AG,FACC.VI,AT00000FACC2,AT,EURONEXT,Unknown,true
La FranÃ§aise des Jeux SociÃ©tÃ© anonyme,FDJ.VI,,AT,EURONEXT,Unknown,true
Frauenthal Holding AG,FKA.VI,AT0000762406,AT,EURONEXT,Unknown,true
Flughafen Wien Aktiengesellschaft,FLU.VI,AT00000VIE62,AT,EURONEXT,Unknown,true
Fuchs Petrolub SE,FPE4.VI,,AT,EURONEXT,Unknown,true
Gurktaler AG ST,GAGS.VI,AT0000A0Z9G3,AT,EURONEXT,Unknown,true
Gurktaler Aktiengesellschaft,GAGV.VI,AT0000A0Z9H1,AT,EURONEXT,Unknown,true
Maschinenfabrik HEID AG,HED.VI,AT0000690151,AT,EURONEXT,Unknown,true
Hui Srl,HUI.VI,IT0005618423,AT,EURONEXT,Unknown,true
JD.com Inc.,JD.VI,,AT,EURONEXT,Unknown,true
Kapsch Traffic,KTCG.VI,AT000KAPSCH9,AT,EURONEXT,Unknown,true
Kontron AG,KTN.VI,AT0000A0E9W5,AT,EURONEXT,Unknown,true
Lenzing Aktiengesellschaft,LNZ.VI,AT0000644505,AT,EURONEXT,Unknown,true
Linz Textil Holding AG,LTH.VI,AT0000723606,AT,EURONEXT,Unknown,true
Josef Manner & Comp. AG,MAN.VI,AT0000728209,AT,EURONEXT,Unknown,true
Marinomed Biotech AG,MARI.VI,ATMARINOMED6,AT,EURONEXT,Unknown,true
Mayr-Melnhof Karton AG,MMK.VI,AT0000938204,AT,EURONEXT,Unknown,true
Merck & Company Inc,MRK.VI,US58933Y1055,AT,EURONEXT,Unknown,true
Nova Ljubljanska Banka d.d.,NLBR.VI,,AT,EURONEXT,Unknown,true
Nokian Renkaat Oyj,NRE1.VI,,AT,EURONEXT,Unknown,true
Oberbank AG,OBS.VI,AT0000625108,AT,EURONEXT,Unknown,true
Patrizia AG,P1Z.VI,,AT,EURONEXT,Unknown,true
Palfinger AG,PAL.VI,AT0000758305,AT,EURONEXT,Unknown,true
Planisware SAS,PLNW.VI,FR001400PFU4,AT,EURONEXT,Unknown,true
PORR AG,POS.VI,AT0000609607,AT,EURONEXT,Unknown,true
Oesterr. Post AG,POST.VI,AT0000APOST4,AT,EURONEXT,Unknown,true
Polytec Holding AG,PYT.VI,AT0000A00XX9,AT,EURONEXT,Unknown,true
RATH Aktiengesellschaft,RAT.VI,AT0000767306,AT,EURONEXT,Unknown,true
RHI Magnesita NV,RHIM.VI,NL0012650360,AT,EURONEXT,Unknown,true
Rosenbauer International AG,ROS.VI,AT0000922554,AT,EURONEXT,Unknown,true
Banco Santander S.A.,SAN.VI,,AT,EURONEXT,Unknown,true
SBM Offshore N.V.,SBMO.VI,,AT,EURONEXT,Unknown,true
Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft,SBO.VI,AT0000946652,AT,EURONEXT,Unknown,true
Semperit Aktiengesellschaft Holding,SEM.VI,AT0000785555,AT,EURONEXT,Unknown,true
Space Exploration Technologies Corp.,SPCX.VI,US84615Q1031,AT,EURONEXT,Unknown,true
Stadlauer Malzfabrik Aktiengesellschaft,STM.VI,AT0000797303,AT,EURONEXT,Unknown,true
Strabag SE,STR.VI,AT000000STR1,AT,EURONEXT,Unknown,true
Telekom Austria AG,TKA.VI,AT0000720008,AT,EURONEXT,Unknown,true
TLG Immobilien AG,TLG.VI,,AT,EURONEXT,Unknown,true
UBM Development AG,UBS.VI,AT0000815402,AT,EURONEXT,Unknown,true
Universal Music Group N.V.,UMG.VI,,AT,EURONEXT,Unknown,true
UNIQA Insurance Group AG,UQA.VI,AT0000821103,AT,EURONEXT,Unknown,true
Vienna Insurance Group AG,VIG.VI,AT0000908504,AT,EURONEXT,Unknown,true
Valneva SE,VLA.VI,FR0004056851,AT,EURONEXT,Unknown,true
Wolters Kluwer N.V.,WKL.VI,,AT,EURONEXT,Unknown,true
Wolford Aktiengesellschaft,WOL.VI,AT0000834007,AT,EURONEXT,Unknown,true
Wolftank Group AG,WOLF.VI,AT0000A25NJ6,AT,EURONEXT,Unknown,true
Wiener Privatbank SE,WPB.VI,AT0000741301,AT,EURONEXT,Unknown,true
Warimpex Finanz- und Beteiligungs AG,WXF.VI,AT0000827209,AT,EURONEXT,Unknown,true
Zumtobel Group AG,ZAG.VI,AT0000837307,AT,EURONEXT,Unknown,true
Andritz AG,ANDR.VI,AT0000730007,AT,XETRA,Industrials,true
Erste Group Bank AG,EBS.VI,AT0000652011,AT,XETRA,Financials,true
Frequentis AG,FQT.VI,ATFREQUENT09,AT,XETRA,Technology,true
OMV Aktiengesellschaft,OMV.VI,AT0000743059,AT,XETRA,Energy,true
Raiffeisen Bank International AG,RBI.VI,AT0000606306,AT,XETRA,Financials,true
VERBUND AG,VER.VI,AT0000746409,AT,XETRA,Utilities,true
Voestalpine AG,VOE.VI,AT0000937503,AT,XETRA,Materials,true
Wienerberger AG,WIE.VI,AT0000831706,AT,XETRA,Materials,true
Anheuser Busch Inbev SA NV,ABI.BR,BE0974293251,BE,EURONEXT,Consumer Staples,true
ABO Group,ABO.BR,BE0974278104,BE,EURONEXT,Unknown,true
Accentis,ACCB.BR,BE0003696102,BE,EURONEXT,Unknown,true
Ackermans & Van Haaren NV,ACKB.BR,BE0003764785,BE,EURONEXT,Financials,true
Aedifica,AED.BR,BE0003851681,BE,EURONEXT,Unknown,true
AGFA Gevaert NV,AGFB.BR,BE0003755692,BE,EURONEXT,Unknown,true
ageas SA/NV,AGS.BR,BE0974264930,BE,EURONEXT,Financials,true
EUROPEAN MEDICAL SOLUTIONS,ALEMS.BR,,BE,EURONEXT,Unknown,true
Argen-X,ARGX.BR,NL0010832176,BE,EURONEXT,Unknown,true
Ascencio (D),ASCE.BR,BE0003856730,BE,EURONEXT,Unknown,true
Atenor SA,ATEB.BR,BE0003837540,BE,EURONEXT,Unknown,true
Azelis Group NV,AZE.BR,BE0974400328,BE,EURONEXT,Unknown,true
Banimmo SA,BANI.BR,BE0003870871,BE,EURONEXT,Unknown,true
BANQUP GROUP,BANQ.BR,,BE,EURONEXT,Unknown,true
Barco NV,BAR.BR,BE0974362940,BE,EURONEXT,Unknown,true
Aliaxis SA,BE0941243520.BR,BE0941243520,BE,EURONEXT,Unknown,true
Etex NV,BE0941244536.BR,BE0941244536,BE,EURONEXT,Unknown,true
SCR- Sibelco NV,BE0944264663.BR,,BE,EURONEXT,Unknown,true
NV Bekaert SA,BEKB.BR,BE0974258874,BE,EURONEXT,Materials,true
Belysse Group N.V.,BELYS.BR,BE0974314461,BE,EURONEXT,Unknown,true
Banque nationale de Belgique Société anonyme,BNB.BR,BE0003008019,BE,EURONEXT,Unknown,true
Bpost NV,BPOST.BR,BE0974268972,BE,EURONEXT,Unknown,true
Brederode SA,BREB.BR,LU1068091351,BE,EURONEXT,Unknown,true
Biotalys NV,BTLS.BR,BE0974386188,BE,EURONEXT,Unknown,true
Campine,CAMB.BR,BE0003825420,BE,EURONEXT,Unknown,true
Candela Invest SA,CAND.BR,BE0974298300,BE,EURONEXT,Unknown,true
Cenergy Holdings SA,CENER.BR,BE0974303357,BE,EURONEXT,Unknown,true
Compagnie d Entreprises CFE SA,CFEB.BR,BE0003883031,BE,EURONEXT,Unknown,true
